MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,DAGS,i,train_loss,val_loss,size,nshd_c,nshd,tpr,prec_c,change_adj_count,graph_set
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,0,19821.8133835565,28170.609375,4,1.18181818181818,1.36363636363636,0.117647058823529,1,242,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,0,22618.076109096,21400.09765625,5,1.27272727272727,1.36363636363636,0.117647058823529,0.6,232,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,1,18898.8696056548,23262.041015625,5,1.09090909090909,1.27272727272727,0.176470588235294,1,255,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,2,21931.8683989025,29977.486328125,6,1,1.18181818181818,0.235294117647059,1,263,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,3,29894.0951195126,28901.203125,5,1.09090909090909,1.27272727272727,0.176470588235294,1,232,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,4,37407.9324358259,21093.330078125,5,1.09090909090909,1.27272727272727,0.176470588235294,1,248,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,5,21530.1432082403,26037.6875,5,1.09090909090909,1.27272727272727,0.176470588235294,1,276,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,6,22206.4102353051,31052.099609375,4,1.18181818181818,1.36363636363636,0.117647058823529,1,295,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,7,20221.0387602307,23721.177734375,5,1.09090909090909,1.27272727272727,0.176470588235294,1,268,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,8,27482.8037760417,28748.134765625,5,1.09090909090909,1.27272727272727,0.176470588235294,1,273,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,9,34548.729624721,32906.41015625,5,1.09090909090909,1.27272727272727,0.176470588235294,1,265,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,10,20879.6537202381,27252.25,4,1.18181818181818,1.36363636363636,0.117647058823529,1,249,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,11,18224.5533063616,26547.91015625,5,1.09090909090909,1.27272727272727,0.176470588235294,1,305,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,12,21227.2931338356,30165.15234375,5,1.09090909090909,1.27272727272727,0.176470588235294,1,226,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,13,20499.8883393787,26601.837890625,6,1,1.27272727272727,0.176470588235294,1,293,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,14,24066.610500372,23266.865234375,5,1.09090909090909,1.27272727272727,0.176470588235294,1,269,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,15,23039.4947079613,28854.146484375,5,1.09090909090909,1.27272727272727,0.176470588235294,1,224,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,16,18041.3560244606,27098.052734375,5,1.09090909090909,1.27272727272727,0.176470588235294,1,239,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,0,21270.9935825893,34321.40234375,5,1.09090909090909,1.27272727272727,0.176470588235294,1,212,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,1,18838.5103073847,27522.279296875,5,1.09090909090909,1.27272727272727,0.176470588235294,1,251,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,2,18760.1829287574,28219.646484375,4,1.18181818181818,1.36363636363636,0.117647058823529,1,255,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,3,18850.1759161086,28078.666015625,4,1.18181818181818,1.36363636363636,0.117647058823529,1,259,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,4,19196.9260277158,27385.75,6,1.18181818181818,1.27272727272727,0.176470588235294,0.666666666666667,324,Sachs_1
,0.1,0.87859291486062,0.000113739019856609,0.00161584503375007,0.157451211201,0.00120806965197976,Sachs_1,5,32453.9904413132,32055.572265625,5,1.09090909090909,1.27272727272727,0.176470588235294,1,271,Sachs_1
